"","V1"
"1","Aeschylus_Agamemnon-1"
"2","Aeschylus_Agamemnon-2"
"3","Aeschylus_Agamemnon-3"
"4","Aeschylus_Agamemnon-4"
"5","Aeschylus_Agamemnon-5"
"6","Aeschylus_Agamemnon-6"
"7","Aeschylus_Agamemnon-7"
"8","Aeschylus_Agamemnon-8"
"9","Aeschylus_Agamemnon-9"
"10","Aeschylus_Agamemnon-10"
"11","Aeschylus_Agamemnon-11"
"12","Aeschylus_Agamemnon-12"
"13","Aeschylus_Agamemnon-13"
"14","Aeschylus_Agamemnon-14"
"15","Aeschylus_Agamemnon-15"
"16","Aeschylus_Agamemnon-16"
"17","Aeschylus_Agamemnon-17"
"18","Aeschylus_Agamemnon-18"
"19","Aeschylus_Agamemnon-19"
"20","Aeschylus_Agamemnon-20"
"21","Aeschylus_Agamemnon-21"
"22","Aeschylus_Agamemnon-22"
"23","Aeschylus_Agamemnon-23"
"24","Aeschylus_Agamemnon-24"
"25","Aeschylus_Agamemnon-25"
"26","Aeschylus_Agamemnon-26"
"27","Aeschylus_Agamemnon-27"
"28","Aeschylus_Agamemnon-28"
"29","Aeschylus_Agamemnon-29"
"30","Aeschylus_Agamemnon-30"
"31","Aeschylus_Agamemnon-31"
"32","Aeschylus_Agamemnon-32"
"33","Aeschylus_Agamemnon-33"
"34","Aeschylus_Agamemnon-34"
"35","Aeschylus_Agamemnon-35"
"36","Aeschylus_Agamemnon-36"
"37","Aeschylus_Agamemnon-37"
"38","Aeschylus_Agamemnon-38"
"39","Aeschylus_Agamemnon-39"
"40","Aeschylus_Agamemnon-40"
"41","Aeschylus_Agamemnon-41"
"42","Aeschylus_Agamemnon-42"
"43","Aeschylus_Agamemnon-43"
"44","Aeschylus_Agamemnon-44"
"45","Aeschylus_Agamemnon-45"
"46","Aeschylus_Agamemnon-46"
"47","Aeschylus_Agamemnon-47"
"48","Aeschylus_Agamemnon-48"
"49","Aeschylus_Agamemnon-49"
"50","Aeschylus_Agamemnon-50"
"51","Aeschylus_Agamemnon-51"
"52","Aeschylus_Agamemnon-52"
"53","Aeschylus_Agamemnon-53"
"54","Aeschylus_Agamemnon-54"
"55","Aeschylus_Agamemnon-55"
"56","Aeschylus_Agamemnon-56"
"57","Aeschylus_Agamemnon-57"
"58","Aeschylus_Agamemnon-58"
"59","Aeschylus_Agamemnon-59"
"60","Aeschylus_Agamemnon-60"
"61","Aeschylus_Agamemnon-61"
"62","Aeschylus_Agamemnon-62"
"63","Aeschylus_Agamemnon-63"
"64","Aeschylus_Agamemnon-64"
"65","Aeschylus_Agamemnon-65"
"66","Aeschylus_Agamemnon-66"
"67","Aeschylus_Agamemnon-67"
"68","Aeschylus_Agamemnon-68"
"69","Aeschylus_Agamemnon-69"
"70","Aeschylus_Agamemnon-70"
"71","Aeschylus_Agamemnon-71"
"72","Aeschylus_Agamemnon-72"
"73","Aeschylus_Agamemnon-73"
"74","Aeschylus_Agamemnon-74"
"75","Aeschylus_Agamemnon-75"
"76","Aeschylus_Agamemnon-76"
"77","Aeschylus_Agamemnon-77"
"78","Aeschylus_Agamemnon-78"
"79","Aeschylus_Agamemnon-79"
"80","Aeschylus_Agamemnon-80"
"81","Aeschylus_Agamemnon-81"
"82","Aeschylus_Agamemnon-82"
"83","Aeschylus_Agamemnon-83"
"84","Aeschylus_Agamemnon-84"
"85","Aeschylus_Agamemnon-85"
"86","Aeschylus_Agamemnon-86"
"87","Aeschylus_Agamemnon-87"
"88","Aeschylus_Agamemnon-88"
"89","Aeschylus_Agamemnon-89"
"90","Aeschylus_Agamemnon-90"
"91","Aeschylus_Agamemnon-91"
"92","Aeschylus_Agamemnon-92"
"93","Aeschylus_Agamemnon-93"
"94","Aeschylus_Agamemnon-94"
"95","Aeschylus_Agamemnon-95"
"96","Aeschylus_Agamemnon-96"
"97","Aeschylus_Agamemnon-97"
"98","Aeschylus_Agamemnon-98"
"99","Aeschylus_Agamemnon-99"
"100","Aeschylus_Agamemnon-100"
"101","Aeschylus_Agamemnon-101"
"102","Aeschylus_Agamemnon-102"
"103","Aeschylus_Agamemnon-103"
"104","Aeschylus_Agamemnon-104"
"105","Aeschylus_Agamemnon-105"
"106","Aeschylus_Agamemnon-106"
"107","Aeschylus_Agamemnon-107"
"108","Aeschylus_Agamemnon-108"
"109","Aeschylus_Agamemnon-109"
"110","Aeschylus_Agamemnon-110"
"111","Aeschylus_Agamemnon-111"
"112","Aeschylus_Agamemnon-112"
"113","Aeschylus_Agamemnon-113"
"114","Aeschylus_Agamemnon-114"
"115","Aeschylus_Agamemnon-115"
"116","Aeschylus_Agamemnon-116"
"117","Aeschylus_Agamemnon-117"
"118","Aeschylus_Agamemnon-118"
"119","Aeschylus_Agamemnon-119"
"120","Aeschylus_Agamemnon-120"
"121","Aeschylus_Agamemnon-121"
"122","Aeschylus_Agamemnon-122"
"123","Aeschylus_Agamemnon-123"
"124","Aeschylus_Agamemnon-124"
"125","Aeschylus_Agamemnon-125"
"126","Aeschylus_Agamemnon-126"
"127","Aeschylus_Agamemnon-127"
"128","Aeschylus_Agamemnon-128"
"129","Aeschylus_Agamemnon-129"
"130","Aeschylus_Agamemnon-130"
"131","Aeschylus_Agamemnon-131"
"132","Aeschylus_Agamemnon-132"
"133","Aeschylus_Agamemnon-133"
"134","Aeschylus_Agamemnon-134"
"135","Aeschylus_Agamemnon-135"
"136","Aeschylus_Agamemnon-136"
"137","Aeschylus_Agamemnon-137"
"138","Aeschylus_Agamemnon-138"
"139","Aeschylus_Agamemnon-139"
"140","Aeschylus_Agamemnon-140"
"141","Aeschylus_Agamemnon-141"
"142","Aeschylus_Agamemnon-142"
"143","Aeschylus_Agamemnon-143"
"144","Aeschylus_Agamemnon-144"
"145","Aeschylus_Agamemnon-145"
"146","Aeschylus_Agamemnon-146"
"147","Aeschylus_Agamemnon-147"
"148","Aeschylus_Agamemnon-148"
"149","Aeschylus_Agamemnon-149"
"150","Aeschylus_Agamemnon-150"
"151","Aeschylus_Agamemnon-151"
"152","Aeschylus_Agamemnon-152"
"153","Aeschylus_Agamemnon-153"
"154","Aeschylus_Agamemnon-154"
"155","Aeschylus_Agamemnon-155"
"156","Aeschylus_Agamemnon-156"
"157","Aeschylus_Agamemnon-157"
"158","Aeschylus_Agamemnon-158"
"159","Aeschylus_Agamemnon-159"
"160","Aeschylus_Agamemnon-160"
"161","Aeschylus_Agamemnon-161"
"162","Aeschylus_Agamemnon-162"
"163","Aeschylus_Agamemnon-163"
"164","Aeschylus_Agamemnon-164"
"165","Aeschylus_Agamemnon-165"
